label,direction,confidence,btc_price_entry,fear_greed_value,rsi14,technical_score,hour_utc,hour_sin,hour_cos,cvd_6m_pct,ema_trend_up,technical_bias_bullish,signal_technical_buy,signal_sentiment_pos,signal_fg_fear,signal_volume_high,classification
1,UP,0.51,64574.68,5.0,53.81,1.5,22,-0.5,0.866025,,0,1,0,0,1,0,SKIP
1,DOWN,0.58,65412.84,11.0,41.69,-4.5,3,0.707107,0.707107,,0,0,0,0,1,0,SKIP
1,DOWN,0.58,65745.46,5.0,55.23,1.5,9,0.707107,-0.707107,,0,1,0,0,1,0,BET
1,UP,0.75,66510.27,11.0,45.9,5.0,14,-0.5,-0.866025,,0,1,0,0,0,0,BET
0,UP,0.58,67428.01,9.0,45.19,-1.0,18,-1.0,-0.0,,0,0,0,0,1,0,NO_BET
1,UP,0.6,67435.12,9.0,52.11,4.0,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,UP,0.75,65482.29,11.0,57.2,1.5,10,0.5,-0.866025,,0,1,0,0,0,0,PENDING
1,DOWN,0.51,64745.25,5.0,51.0,0.5,23,-0.258819,0.965926,,0,0,0,0,1,0,SKIP
1,DOWN,0.6,64930.38,5.0,28.72,-2.5,17,-0.965926,-0.258819,,0,0,0,0,1,0,BET
0,DOWN,0.42,64247.83,5.0,44.1,-1.5,20,-0.866025,0.5,,0,0,0,0,0,0,SKIP
1,UP,0.6,67657.27,9.0,52.55,-0.5,15,-0.707107,-0.707107,,0,0,0,0,1,0,NO_BET
1,DOWN,0.54,65399.9,5.0,41.22,-1.5,17,-0.965926,-0.258819,,0,0,0,0,1,0,NO_BET
0,UP,0.73,65844.85,11.0,45.2,6.0,12,0.0,-1.0,,0,1,0,0,0,0,ALERT
1,UP,0.75,64067.42,8.0,41.12,-2.5,21,-0.707107,0.707107,,0,0,0,0,0,0,BET
1,UP,0.75,64302.74,8.0,58.51,3.5,18,-1.0,-0.0,,0,1,0,0,0,0,ALERT
0,UP,0.75,64148.24,8.0,52.08,-0.5,23,-0.258819,0.965926,,0,0,0,0,0,0,ALERT
0,DOWN,0.65,64671.38,5.0,37.67,-1.5,18,-1.0,-0.0,,0,0,0,0,1,0,BET
1,DOWN,0.65,64043.41,8.0,63.15,2.5,16,-0.866025,-0.5,,0,1,0,0,1,0,ALERT
0,DOWN,0.51,63136.39,8.0,50.67,1.5,8,0.866025,-0.5,,0,1,0,0,1,0,SKIP
0,UP,0.68,65072.13,5.0,59.17,4.5,5,0.965926,0.258819,,0,1,0,0,1,0,BET
0,DOWN,0.51,65557.55,11.0,54.52,-3.5,4,0.866025,0.5,,0,0,0,0,1,0,SKIP
0,UP,0.55,67632.75,9.0,51.38,3.5,17,-0.965926,-0.258819,,0,1,0,0,0,0,NO_BET
0,UP,0.7,65003.88,5.0,55.03,4.5,5,0.965926,0.258819,,0,1,0,0,1,0,BET
0,DOWN,0.6,64585.91,5.0,42.48,-2.5,23,-0.258819,0.965926,,0,0,0,0,1,0,BET
1,UP,0.62,67418.02,9.0,50.43,3.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,DOWN,0.51,63330.13,8.0,41.5,-1.5,4,0.866025,0.5,,0,0,0,0,1,0,SKIP
0,UP,0.75,66464.11,5.0,62.5,5.0,12,0.0,-1.0,,0,1,0,0,1,0,BET
1,UP,0.69,64443.03,8.0,56.43,3.5,20,-0.866025,0.5,,0,1,0,0,1,0,ALERT
